study,citation_key,title,authors,year,venue,primary_interface,secondary_tags,domain_benchmark_family,rl_update,status,inventory_group,doi,doi_url,url,link_type,metadata_source,metadata_notes
Language-to-Rewards,liu2023languagetorewards,Language to Rewards for Robotic Skill Synthesis,"Yu, Wenhao and Gileadi, Nimrod and Fu, Chuyuan and Kirmani, Sean and Lee, Kuang-Huei and Arenas, Montserrat Gonzalez and Chiang, Hao-Tien Lewis and Erez, Tom and Hasenclever, Leonard and Humplik, Jan and Ichter, Brian and Xiao, Ted and Xu, Peng and Zeng, Andy and Zhang, Tingnan and Heess, Nicolas and Sadigh, Dorsa and Tan, Jie and Tassa, Yuval and Xia, Fei",2023,Proceedings of The 7th Conference on Robot Learning,Reward,reward code; language-to-Python,robotics; sim-to-real robot skill tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2306.08647,https://doi.org/10.48550/arXiv.2306.08647,https://proceedings.mlr.press/v229/yu23a.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Text2Reward,Xie2024,Text2Reward: Reward Shaping with Language Models for Reinforcement Learning,"Xie, Tianbao and Zhao, Siheng and Wu, Chen Henry and Liu, Yitao and Luo, Qian and Zhong, Victor and Yang, Yanchao and Yu, Tao",2024,Proceedings of the International Conference on Learning Representations (ICLR),Reward,reward code; tool repair,continuous control; simulated control benchmarks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2309.11489,https://doi.org/10.48550/arXiv.2309.11489,https://openreview.net/forum?id=tUM39YTRxH,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Eureka,ma2024eureka,Eureka: Human-level reward design via coding large language models,"Ma, Yecheng Jason and Liang, William and Wang, Guanzhi and Huang, De-An and Bastani, Osbert and Jayaraman, Dinesh and Zhu, Yuke and Fan, Linxi and Anandkumar, Anima",2024,Proceedings of the International Conference on Learning Representations (ICLR),Reward,reward-code search; simulation feedback,manipulation and locomotion; simulated tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2310.12931,https://doi.org/10.48550/arXiv.2310.12931,https://openreview.net/forum?id=IEduRUO55F,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
CARD,Sun2024CARD,A Large Language Model-Driven Reward Design Framework via Dynamic Feedback for Reinforcement Learning,"Sun, Shengjie and Liu, Runze and Lyu, Jiafei and Yang, Jing-Wen and Zhang, Liangpeng and Li, Xiu",2024,arXiv,Reward,coder-evaluator reward refinement,manipulation; Meta-World and ManiSkill2,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2410.14660,https://doi.org/10.48550/arXiv.2410.14660,https://arxiv.org/abs/2410.14660,arxiv,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
ARM-FM,Castanyer2026ARMFM,ARM-FM: Automated Reward Machines via Foundation Models for Compositional Reinforcement Learning,"Creus Castanyer, Roger and Mohamed, Faisal and Castro, Pablo Samuel and Neary, Cyrus and Berseth, Glen",2026,Proceedings of the International Conference on Learning Representations (ICLR),Reward,reward machines; FM-generated specifications,"compositional RL; grid, 3D, and robotics tasks",Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2510.14176,https://doi.org/10.48550/arXiv.2510.14176,https://arxiv.org/abs/2510.14176,arxiv,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
Reward Design with Language,Kwon2023,Reward design with language models,"Kwon, Minae and Xie, Sang Michael and Bullard, Kalesha and Sadigh, Dorsa",2023,Proceedings of the International Conference on Learning Representations (ICLR),Reward,weight calibration; language priorities,control; shaped-behavior tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2303.00001,https://doi.org/10.48550/arXiv.2303.00001,https://openreview.net/forum?id=10uNUgI5Kl,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
VLM as Zero-Shot Reward,Rocamonde2024,Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning,"Rocamonde, Juan and Montesinos, Victoriano and Nava, Elvis and Perez, Ethan and Lindner, David",2024,Proceedings of the International Conference on Learning Representations (ICLR),Reward,frozen VLM reward,embodied RL; goal-conditioned benchmarks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2310.12921,https://doi.org/10.48550/arXiv.2310.12921,https://openreview.net/forum?id=N0I2RtD8je,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
RL-VLM-F,Wang2024,RL-VLM-F: Reinforcement learning from vision language foundation model feedback,"Wang, Yufei and Sun, Zhanyi and Zhang, Jesse and Xian, Zhou and Biyik, Erdem and Held, David and Erickson, Zackory",2024,Proceedings of the International Conference on Machine Learning (ICML),Reward,VLM feedback in loop,embodied control; task and safety proxies,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2402.03681,https://doi.org/10.48550/arXiv.2402.03681,https://openreview.net/forum?id=YSoMmNWZZx,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Progress-as-Reward,sarukkai2024progress,Automated Rewards via LLM-Generated Progress Functions,"Sarukkai, Vishnu and Shacklett, Brennan and Majercik, Zander and Bhatia, Kush and R\'e, Christopher and Fatahalian, Kayvon",2024,arXiv,Reward,trajectory summaries; intrinsic reward,sparse-reward RL; long-horizon tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2410.09187,https://doi.org/10.48550/arXiv.2410.09187,https://arxiv.org/abs/2410.09187,arxiv,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
PRM4RL,zhang2025prm4rl,Progress Reward Model for Reinforcement Learning via Large Language Models,"Zhang, Xiuhui and Gao, Ning and Jiang, Xingyu and Chen, Yihui and Pan, Yuheng and Zhang, Mohan and Deng, Yue",2025,Advances in Neural Information Processing Systems (NeurIPS),Reward,progress reward model; task decomposition,robotics; long-horizon sparse-reward control,Yes,in scope,Reward / feedback: in-scope,,,https://openreview.net/forum?id=TJhHb6CscW,openreview,local_bib; doi_lookup_2026-06-22,No verified DOI found during this update; URL points to the most stable public landing page found.
